type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2019-09-03T18:32:29.000Z,techzineeu,Techzine Europe,"✈️ #Techzine covers the world of #technology
🕵️‍♂️ #IT #Cloud #Security #Data #Devops
🔍Research & analyse #enterprise solutions
⭐ Learn more: https://t.co/8HYw418ykF",Netherlands,1168954887826227207,9322,1821,9587
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-12-30T09:31:20.000Z,NewsdailyTech,newsdaily tech,"Specializing in technology news, website making, virtual currency and best tech product.",United State,1608757567274258442,4,68,42
ProfilePage,2019-09-03T18:32:29.000Z,techzineeu,Techzine Europe,"✈️ #Techzine covers the world of #technology
🕵️‍♂️ #IT #Cloud #Security #Data #Devops
🔍Research & analyse #enterprise solutions
⭐ Learn more: https://t.co/8HYw418ykF",Netherlands,1168954887826227207,9322,1821,9587
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-12-30T09:31:20.000Z,NewsdailyTech,newsdaily tech,"Specializing in technology news, website making, virtual currency and best tech product.",United State,1608757567274258442,4,68,42
ProfilePage,2022-12-30T09:31:20.000Z,NewsdailyTech,newsdaily tech,"Specializing in technology news, website making, virtual currency and best tech product.",United State,1608757567274258442,4,68,42
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-10-03T10:32:10.000Z,cx_scoop,CX Scoop,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!,,1576882290222825472,171,207,201
ProfilePage,2022-10-03T10:32:10.000Z,cx_scoop,CX Scoop,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!,,1576882290222825472,171,207,201
ProfilePage,2022-10-03T10:32:10.000Z,cx_scoop,CX Scoop,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!,,1576882290222825472,171,207,201
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-10-03T10:32:10.000Z,cx_scoop,CX Scoop,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!,,1576882290222825472,171,207,201
ProfilePage,2022-10-03T10:32:10.000Z,cx_scoop,CX Scoop,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!,,1576882290222825472,171,207,201
ProfilePage,2022-10-27T02:25:00.000Z,schiller82utjb,Elsa.Schiller82UtJB,,,1585457460629979136,8,1,8297
ProfilePage,2022-10-27T02:25:00.000Z,schiller82utjb,Elsa.Schiller82UtJB,,,1585457460629979136,8,1,8297
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-10-27T02:25:00.000Z,schiller82utjb,Elsa.Schiller82UtJB,,,1585457460629979136,8,1,8297
ProfilePage,2022-10-27T02:25:00.000Z,schiller82utjb,Elsa.Schiller82UtJB,,,1585457460629979136,8,1,8297
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-27T21:52:46.000Z,WyoKat262,Katherine Airisa,,,1574879650571878403,15,110,1446
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
