Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@Alexand90845096,Alexander Forbes,10 Feb,@AngelGabe_Zm ,,,1,28
@ChalupaPepper00,Pepper,10 Feb,"Situation I’m in rn completely parallels tht scene in Sophie’s choice when Meryl Streep has to decide which of her babies is goin to the gas chamber.

(Strugglin to decide if I want to move on from my iPhone 7 or buy a new Xbox.) ",,,,
@zkanpai,kanpai,9 Feb,@EscheroOfficial and and @jasonschreier ,2,,6,338
@fluffballhoba,⌗ cute dino⁷𓍯 | Yoongi’s Day,9 Feb,I saved money since I was 18 in 2019 and last year I got to buy  iphone 13 pro max using that money. It is a big achievement for me cause I want to be independent and buy expensive things without using my parents’s money ,3,1,7,386
@woochariseyg,CWYG - Chapter 0 & MagicMan,9 Feb,@WangEmpire852G7 @oneplus and and @JacksonWang852 ,,,1,79
@Gbyamg7,Gaby M García ,8 Feb,@noveldrum2 ,1,,1,42
@vhicepressdent,vhice_pressdent,8 Feb,How much is iphone x 64g I want to  buy one ,,,,
@Bethanywalk22,Bethany walker,8 Feb,@NianticHelp ,,,1,202
@adjm445,lexie,8 Feb,"and it got me thinking, ""why do i want to have the iphone 13 pro when my iphone can still function well?"" i only wanted it bcs its got a green version. and i like green bcs of nct and that's it. that was the only reason why i developed the desire to buy the iphone 13 pro. ",,,,
@adeyussuf411,Uncle Ade,8 Feb,"Sir Olamide grumbled and  said he will get back to him but… 
He walkles  down to  Ikenna   shop and asked the same question.. 

"" I want to  buy an iPhone 14, how much will it cost me?"" ",,,,
@ammarjanjua,Ammar Masood Janjua,8 Feb,@thecashoutkings ,,,,22
@MrOliv3r,൩ﺃ८ɧลᕦ⎝ ⵙ⎝ﺃ🜄ᕦГ,7 Feb,Why would I want to  buy a foldable iPhone in 2024 when I can cop a foldable Samsung now? Analysts stay on Apple's jock tho. ,,,,
@olayinka1_temi,Weird_grilo,7 Feb,"I want to do Yahoo! I don buy big polo, big trouser, iPhone , laptop and bleaching cream and white socks abeg wetin remain ",,,,
@VIgboejesi,Igbo dike,7 Feb,"I want to  buy  iPhone 14,i have 40k with me. Pls what, should I do? ",,,,
@Khili_Stian,Bwana Patel,7 Feb,"Guys, i want to  buy my girlfriend a valentines gift. IPhone 14 pro or S23?? Which one is better?? ",,,,
@chor_fong,Grace Chor Fong Chan,6 Feb,@elonmusk ,,,,23
@masseeih,IKM Muhammad,5 Feb,"@SamsungUK  I want to  buy Sam S23 Ultra but couldn't see any big features or improvements except few in camera department, for example from iPhone 13 Pro to IPhone 14 Pro there's a dynamic Island but still confused abt S22 Ultra to S23 Ultra they look same 2 same #SamsungS23Ultra ",,,,
@RepuChile,Republic Of Chile,4 Feb,i want to update my pc components and then buy  iPhone lmao ,,,,
@beautiful_sue,Flower Child,4 Feb,I want to  buy my brother an iPhone so bad ,,,,
@nitingirdhar88,Nitin Girdhar,4 Feb,@Apple  I want to  buy  iPhone 14 Pro from the US and will be using it India. Does Apple provide international warranty on iPhone ’s in case of any issues? Please confirm. ,,,,
@Daaalllas,MXXXXXXXMMMM,4 Feb,So if I want to  buy an iPhone 7 from china like other kids I have to seek permission from CRAN first? Okasaane hono Sema ota keendelele unene ,,,,
